,title,org,desc
129,Art Experience Volunteer,"Wonder Works, A Children's Museum in Oak Park",Do you love exploring art? If you aren't afraid to get a little messy join our Art Experience Team and bring the joy of art to our young...
130,Volunteer ESL Tutors for Adult Immigrants,Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
131,Volunteer Computer Literacy Teacher for Adult Immigrants,Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
132,Volunteer ESL Tutor for Refugee Adult Learners,Heartland Human Care Services - A Company of...,VELT (Vocational & English Language Trainings) Tutoring Program provides a comfortable place for adult refugees to learn and practice...
133,Gift Shop/Operations,Friends of the Oak Park Conservatory,The Oak Park Conservatory’s Gift Shop is a year-round source for environmental friendly gardening & nature-related products for...
134,English Language Training Intern,Heartland Human Care Services - A Company of...,Refugee & Immigrant Community Services English Language Training Intern Reports to: Supervisor of English language training...
135,Help immigrants prepare for the GED test! Adult Basic Education Tutors Needed,Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
136,Citizenship exam tutors,Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
137,Volunteer ESL Teacher,Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
138,Math Tutors Needed (GED prep for immigrants),Heartland Human Care Services - A Company of...,"Heartland Alliance for Human Needs & Human Rights is a service-based, human rights organization that provides housing, health care,..."
139,Volunteer Workshop Facilitators Needed for Take Charge of Your Health Programs,AgeOptions,Do you have a passion for serving others in the community? Do you find health and wellness as important in overall quality of life? Do...
140,IVC Seeks Active Seniors for the Chicago Area,Ignatian Volunteer Corps,"Active Senior? Eager to ""give something back?"" The Ignatian Volunteer Corps is accepting volunteers (age 50 ) to work with the..."
141,Mentor's / Youth Advocates Needed,The Rise Foundation,"We currently are seeking Mentors to assist our youth in the college planning process, Candidate will act as an advocate for youth..."
142,Volunteer Teachers,FREEGEEK CHICAGO NFP,FreeGeek Chicago is in need of volunteer technology teachers. Our organization has an on-going educational program on open-source...
143,Volunteers Needed for the Adult Education and Career Transition Program (FAST West),UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,General Classroom Tutor; Work with small groups of students during class Follow instructions from the teacher on how to lead group...
144,Volunteers Needed for the Adult Education and Career Transition Program (FAST...,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"This opportunity is available Monday - Thursday from 1:00 PM to 3:30 PM at San Miguel Catholic School (1954 W 48th St, Chicago IL, 60609)..."
145,Volunteers Needed for the Adult Education and Career Transition Program (FAST...,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"This opportunity is available Monday - Thursday from 8:30 AM to 11:15 AM at San Miguel Catholic School (1954 W 48th St, Chicago IL,..."
146,Volunteers Needed for the Adult Education and Career Transition Program,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,General Classroom Tutor Work with small groups of students during class Follow instructions from the teacher on how to lead group...
147,Early Childhood Classroom Support,VOCEL VIEWING OUR CHILDREN AS EMERGING LEADERS...,The Early Childhood Classroom Support Volunteer will support young children and parents/caregivers as part of VOCEL’s Child-Parent...
148,Tutor or Mentor a middle school student in Rogers Park!,LIVING WORKS,Living Works After School Program: Middle School Tutor-Mentor The Living Works High School Readiness Program seeks tutor-mentors to work...
149,Tutor an elementary school student in Rogers Park!,LIVING WORKS,Living Works After School Program: Elementary School Tutor The Living Works After-School Program seeks tutors to work with elementary age...
150,Tutor in Greater Hyde Park,Tutoring Chicago,Looking to make a lasting impact on your community? Join our volunteer team at our Greater Hyde Park locations and help a student develop...
151,Become a STAR Tutor!,Saint John Church-Baptist,STARS Tutoring has been providing one-to-one or small group after-school tutoring for 17 years in the Bronzeville community! This school...
152,Impact 5th Graders on Chicago's Northwest Side!,Junior Achievement of Chicago,"Junior Achievement of Chicago is looking for 1 professional to volunteer their time to help bring work readiness to life, and teach St...."
153,Assistant Teacher for Award-winning After-School Program,Cool Classics!,"Cool Classics!, an award-winning nationally recognized program, is seeking individuals interested in transforming children's lives..."
154,ASPIRA Antonia Pantoja's Career Speaker Series,Junior Achievement of Chicago,ASPIRA Antonia Pantoja will be hosting their monthly Career Speaker Series! The purpose for this event is to help our students set...
155,ASPIRA Antonia Pantoja's Career Speaker Series,Junior Achievement of Chicago,ASPIRA Antonia Pantoja will be hosting their monthly Career Speaker Series! The purpose for this event is to help our students set...
156,Soto College and Career Fair,Junior Achievement of Chicago,: We are looking for volunteers to come and speak about their organizations to students and parents. Students are interested to know...
157,Soto College and Career Fair,Junior Achievement of Chicago,We are looking for volunteers to come and speak about their organizations to students and parents. Students are interested to know...
158,Kelly's Career Day,Junior Achievement of Chicago,Volunteers are asked to present to a group of students and parents. Discuss your line of work and your organization. Recruiters will get...
159,Be a Part of a Really Awesome Reading Program!,"Erie Neighborhood House, Little Village",Little Village READS is a literacy initiative that pairs reading tutors with 1st through 3rd-grade students in the Little Village...
160,ESL Tutoring Volunteer Opportunities,PODER,"PODER Background Each year, Chicago welcomes thousands of new, Latino immigrants who are inspired by the promise of a better life. But..."
161,Volunteer Tutors Needed,Inspired Youth Inc.,Inspired Youth Tutoring Program seeks volunteers to help elementary school students from Uptown with school homework and basic skills --...
162,Join our Board of Directors!,Dream On Education,"Dream On Education is a Chicago based, 501(c)3, aimed to prepare high-performing, low-income 6th to 8th grade students for the rigor of..."
163,PUBLIC RELATIONS PERSON,TOTALLY POSITIVE PRODUCTIONS,"TO HELP PROMOTE TOTALLY POSITIVE PRODUCTIONS AND THE PROGRAMS WE OFFER TO THE PUBLIC. IN ADDITION, THE PUBLIC RELATIONS PERSON WOULD WORK..."
